"t_stamp","1KTI10 熟料落料溫度","1CPI18 窯頭風壓","1K001_ON 窯主馬達運轉","1KII01 旋窯主馬達A電流","1KII02 旋窯主馬達B電流","1KJI01 旋窯主馬達A功率","1KSI01 窯主馬達A轉速","1KTI09 燒成帶溫度"
2026-03-20 15:52:57.000,1101.49231,-3.9375,-1.0,688.8792,649.5632,437.9389,2.09736657,799.4101
2026-03-20 15:52:52.000,1101.49231,-3.9375,-1.0,688.8792,649.5632,437.9389,2.09736657,799.4101
2026-03-20 15:52:47.000,1101.49231,-3.9375,-1.0,688.8792,643.620056,437.6975,2.090625,799.4101
2026-03-20 15:52:42.000,1101.49231,-3.68609524,-1.0,670.984558,643.620056,437.6975,2.090625,799.4101
2026-03-20 15:52:37.000,1101.49231,-2.79073048,-1.0,670.984558,643.620056,437.6975,2.090625,799.4101
2026-03-20 15:52:32.000,1101.49231,-2.79073048,-1.0,643.979248,626.051941,429.468048,2.09515452,799.4101
2026-03-20 15:52:27.000,1101.49231,-2.89676952,-1.0,680.095154,634.836,432.759827,2.09167838,799.4101
2026-03-20 15:52:22.000,1101.49231,-2.89676952,-1.0,680.095154,634.836,432.759827,2.09167838,799.4101
2026-03-20 15:52:17.000,1101.49231,-4.299157,-1.0,680.095154,643.2282,438.1803,2.090625,799.4101
2026-03-20 15:52:12.000,1101.49231,-4.299157,-1.0,652.0449,643.2282,438.1803,2.090625,799.4101
2026-03-20 15:52:07.000,1101.49231,-3.57584286,-1.0,652.0449,643.2282,438.1803,2.090625,799.4101
2026-03-20 15:52:02.000,1101.49231,-3.022472,-1.0,591.372864,627.4561,418.890442,2.092837,799.4101
2026-03-20 15:51:57.000,1101.49231,-3.022472,-1.0,654.885864,649.5632,446.8706,2.09957862,799.4101
2026-03-20 15:51:52.000,1101.49231,-3.022472,-1.0,654.885864,649.5632,446.8706,2.09957862,799.4101
2026-03-20 15:51:47.000,1101.49231,-3.17415714,-1.0,654.885864,653.0899,436.753876,2.090625,799.4101
2026-03-20 15:51:42.000,1101.49231,-3.70224714,-1.0,625.398865,653.0899,436.753876,2.090625,799.4101
2026-03-20 15:51:37.000,1101.49231,-3.70224714,-1.0,628.5337,628.8602,425.232635,2.09736657,799.4101
2026-03-20 15:51:32.000,1101.49231,-3.53230333,-1.0,628.5337,628.8602,425.232635,2.09736657,799.4101
2026-03-20 15:51:27.000,1101.49231,-3.23244381,-1.0,646.428345,644.305847,439.123962,2.09957862,799.4101
2026-03-20 15:51:22.000,1101.49231,-3.23244381,-1.0,646.428345,644.305847,439.123962,2.09957862,799.4101
2026-03-20 15:51:17.000,1101.49231,-3.23244381,-1.0,646.428345,669.188538,441.4721,2.092837,799.4101
2026-03-20 15:51:12.000,1101.49231,-4.044944,-1.0,645.7426,669.188538,441.4721,2.092837,799.4101
2026-03-20 15:51:07.000,1101.49231,-2.97261238,-1.0,652.7633,637.6443,434.647125,2.092837,799.4101
2026-03-20 15:51:02.000,1101.49231,-2.97261238,-1.0,652.7633,637.6443,434.647125,2.092837,799.4101
2026-03-20 15:50:57.000,1101.49231,-3.21418524,-1.0,639.0811,645.350769,429.950836,2.08830762,799.4101
2026-03-20 15:50:52.000,1101.49231,-3.21418524,-1.0,645.024231,655.1471,441.4721,2.10073733,799.4101
2026-03-20 15:50:47.000,1101.49231,-2.94733143,-1.0,645.024231,655.1471,441.4721,2.10073733,799.4101
2026-03-20 15:50:42.000,1101.49231,-2.94733143,-1.0,645.024231,655.1471,441.4721,2.10073733,799.4101
2026-03-20 15:50:37.000,1101.49231,-4.49929762,-1.0,613.48,636.599365,409.0151,2.09852529,799.4101
2026-03-20 15:50:32.000,1101.49231,-3.20014048,-1.0,613.48,636.599365,409.0151,2.09852529,799.4101
2026-03-20 15:50:27.000,1101.49231,-3.20014048,-1.0,672.3887,648.877441,440.045654,2.09515452,799.4101
2026-03-20 15:50:22.000,1101.49231,-3.20014048,-1.0,670.984558,662.9189,448.5165,2.09515452,799.4101
2026-03-20 15:50:17.000,1101.49231,-3.37991571,-1.0,670.984558,662.9189,448.5165,2.09515452,799.4101
2026-03-20 15:50:12.000,1101.49231,-3.425562,-1.0,670.984558,662.9189,448.5165,2.09515452,799.4101
2026-03-20 15:50:07.000,1101.49231,-3.425562,-1.0,652.7633,632.0277,418.890442,2.09957862,799.4101
2026-03-20 15:50:02.000,1101.49231,-2.97893238,-1.0,652.7633,632.0277,418.890442,2.09957862,799.4101
2026-03-20 15:49:57.000,1101.49231,-2.53792143,-1.0,681.8585,651.6531,443.798279,2.092837,799.4101
2026-03-20 15:49:52.000,1101.49231,-2.53792143,-1.0,630.65625,646.428345,434.647125,2.090625,799.4101
2026-03-20 15:49:47.000,1101.49231,-2.53792143,-1.0,630.65625,646.428345,434.647125,2.090625,799.4101
2026-03-20 15:49:42.000,1101.49231,-2.79985952,-1.0,630.65625,646.428345,434.647125,2.090625,799.4101
2026-03-20 15:49:37.000,1101.49231,-3.47191,-1.0,614.8841,625.007,413.009125,2.08830762,799.4101
2026-03-20 15:49:32.000,1101.49231,-3.47191,-1.0,650.673462,662.167847,445.70752,2.09736657,799.4101
2026-03-20 15:49:27.000,1101.49231,-3.41924143,-1.0,650.673462,662.167847,445.70752,2.09736657,799.4101
2026-03-20 15:49:22.000,1101.49231,-3.41924143,-1.0,639.766846,654.1348,426.17627,2.09515452,799.4101
2026-03-20 15:49:17.000,1101.49231,-2.58075857,-1.0,639.766846,654.1348,426.17627,2.09515452,799.4101
2026-03-20 15:49:12.000,1101.49231,-2.58075857,-1.0,639.766846,654.1348,426.17627,2.09515452,799.4101
2026-03-20 15:49:07.000,1101.49231,-2.511938,-1.0,647.1468,620.7946,417.46402,2.09515452,799.4101
2026-03-20 15:49:02.000,1101.49231,-2.36867952,-1.0,662.592346,665.6945,447.572876,2.092837,799.4101
2026-03-20 15:48:57.000,1101.49231,-2.36867952,-1.0,662.592346,665.6945,447.572876,2.092837,799.4101
2026-03-20 15:48:52.000,1101.49231,-2.36867952,-1.0,632.4196,653.775635,433.4621,2.09389043,799.4101
2026-03-20 15:48:47.000,1101.49231,-2.37289333,-1.0,632.4196,653.775635,433.4621,2.09389043,799.4101
2026-03-20 15:48:42.000,1101.49231,-2.537219,-1.0,632.4196,653.775635,433.4621,2.09389043,799.4101
2026-03-20 15:48:37.000,1101.49231,-2.537219,-1.0,594.866943,617.9863,405.262482,2.10179067,799.4101
2026-03-20 15:48:32.000,1101.49231,-2.380618,-1.0,638.3954,648.1264,432.540375,2.10179067,799.4101
2026-03-20 15:48:27.000,1101.49231,-2.28792143,-1.0,638.3954,648.1264,432.540375,2.10179067,799.4101
2026-03-20 15:48:22.000,1101.49231,-2.28792143,-1.0,645.7426,643.9466,439.123962,2.09957862,799.4101
2026-03-20 15:48:17.000,1101.49231,-2.28792143,-1.0,645.7426,643.9466,439.123962,2.09957862,799.4101
2026-03-20 15:48:12.000,1101.49231,-2.16783714,-1.0,651.3592,623.602844,427.1199,2.09389043,799.4101
2026-03-20 15:48:07.000,1101.49231,-2.57022476,-1.0,651.3592,623.602844,427.1199,2.09389043,799.4101
2026-03-20 15:48:02.000,1101.49231,-2.57022476,-1.0,663.2781,639.048462,425.013184,2.08830762,799.4101
2026-03-20 15:47:57.000,1101.49231,-2.66151667,-1.0,663.2781,639.048462,425.013184,2.08830762,799.4101
2026-03-20 15:47:52.000,1101.49231,-2.66151667,-1.0,615.5699,648.1264,424.3109,2.09736657,799.4101
2026-03-20 15:47:47.000,1101.49231,-2.66713476,-1.0,615.5699,648.1264,424.3109,2.09736657,799.4101
2026-03-20 15:47:42.000,1101.49231,-2.66713476,-1.0,612.79425,625.692749,412.526337,2.090625,799.4101
2026-03-20 15:47:37.000,1101.49231,-1.150281,-1.0,612.79425,625.692749,412.526337,2.090625,799.4101
2026-03-20 15:47:31.000,1101.49231,-0.7036514,-1.0,692.7651,657.988037,454.858673,2.10863757,799.4101
2026-03-20 15:47:26.000,1101.49231,-0.7036514,-1.0,692.7651,657.988037,454.858673,2.10863757,799.4101
2026-03-20 15:47:21.000,1101.49231,-0.7036514,-1.0,600.124268,633.399231,424.3109,2.08377814,799.4101
2026-03-20 15:47:16.000,1101.49231,-2.72682571,-1.0,600.124268,633.399231,424.3109,2.08377814,799.4101
2026-03-20 15:47:11.000,1101.49231,-2.01544952,-1.0,658.3799,631.635864,431.8162,2.10526681,799.4101
2026-03-20 15:47:06.000,1101.49231,-2.01544952,-1.0,658.3799,631.635864,431.8162,2.10526681,799.4101
2026-03-20 15:47:01.000,1101.49231,-2.21067429,-1.0,634.868652,641.171,435.832184,2.08493686,799.4101
2026-03-20 15:46:56.000,1101.49231,-2.51615143,-1.0,611.3574,625.692749,421.019135,2.09957862,799.4101
2026-03-20 15:46:51.000,1101.49231,-2.51615143,-1.0,611.3574,625.692749,421.019135,2.09957862,799.4101
2026-03-20 15:46:46.000,1101.49231,-2.51615143,-1.0,611.3574,625.692749,421.019135,2.09957862,799.4101
2026-03-20 15:46:41.000,1101.49231,-2.47893238,-1.0,609.985962,622.1661,425.956818,2.09736657,799.4101
2026-03-20 15:46:36.000,1101.49231,-2.43539333,-1.0,609.985962,622.1661,425.956818,2.09736657,799.4101
2026-03-20 15:46:31.000,1101.49231,-2.43539333,-1.0,622.5906,646.7549,424.3109,2.090625,799.4101
2026-03-20 15:46:26.000,1101.49231,-2.86446619,-1.0,621.904846,618.672058,418.4296,2.09389043,799.4101
2026-03-20 15:46:21.000,1101.49231,-2.86446619,-1.0,621.904846,618.672058,418.4296,2.09389043,799.4101
2026-03-20 15:46:16.000,1101.49231,-2.74929762,-1.0,621.904846,618.672058,418.4296,2.09389043,799.4101
2026-03-20 15:46:11.000,1101.49231,-2.74929762,-1.0,591.7321,625.692749,413.7114,2.104108,799.4101
2026-03-20 15:46:06.000,1101.49231,-2.65589857,-1.0,591.7321,625.692749,413.7114,2.104108,799.4101
2026-03-20 15:46:01.000,1101.49231,-2.35533714,-1.0,677.646057,649.5632,435.107971,2.090625,799.4101
2026-03-20 15:45:56.000,1101.49231,-2.35533714,-1.0,630.9828,615.1454,422.8845,2.09515452,799.4101
2026-03-20 15:45:51.000,1101.49231,-2.35533714,-1.0,630.9828,615.1454,422.8845,2.09515452,799.4101
2026-03-20 15:45:46.000,1101.49231,-2.35042143,-1.0,630.9828,615.1454,422.8845,2.09515452,799.4101
2026-03-20 15:45:41.000,1101.49231,-2.34761238,-1.0,636.632,625.007,420.536346,2.09736657,799.4101
2026-03-20 15:45:36.000,1101.49231,-2.34761238,-1.0,636.632,625.007,420.536346,2.09736657,799.4101
2026-03-20 15:45:31.000,1101.49231,-2.25210667,-1.0,672.3887,644.9916,440.9893,2.092837,799.4101
2026-03-20 15:45:26.000,1101.49231,-2.25210667,-1.0,625.398865,619.390442,422.665039,2.08830762,799.4101
